lat,lng,alt,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_grav,y_grav,z_grav,lum,activity
40.16635,-8.453739,172.33157,1529358299741,0.50757074,5.9663506,8.1402855,0.07559021,-0.23422319,-0.05110324,0.07559021,-0.23422319,-0.05110324,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299742,0.39264908,4.405331,8.810662,0.07559021,-0.23422319,-0.05110324,0.07559021,-0.23422319,-0.05110324,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299742,0.45968673,4.3478703,9.136273,0.07559021,-0.23422319,-0.05110324,0.07559021,-0.23422319,-0.05110324,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299743,0.51714754,4.2904096,9.3182335,0.07559021,-0.23422319,-0.05110324,0.07559021,-0.23422319,-0.05110324,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299744,0.51714754,4.2904096,9.3182335,0.07559021,-0.23422319,-0.05110324,0.65169996,4.1545997,8.859099,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299745,0.51714754,4.223372,9.423578,0.07559021,-0.23422319,-0.05110324,0.65169996,4.1545997,8.859099,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299745,0.5363012,4.1371803,9.452309,0.07559021,-0.23422319,-0.05110324,0.65169996,4.1545997,8.859099,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299746,0.5363012,4.1371803,9.452309,0.07559021,-0.23422319,-0.05110324,0.6698,4.16,8.8552,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299747,0.50757074,4.012682,9.414001,0.07559021,-0.23422319,-0.05110324,0.6698,4.16,8.8552,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299747,0.45968673,3.9073372,9.3182335,0.07559021,-0.23422319,-0.05110324,0.6698,4.16,8.8552,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299748,0.45968673,3.9073372,9.3182335,0.07559021,-0.23422319,-0.05110324,0.6626,4.1275997,8.8709,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299749,0.30645782,3.8881836,9.126697,0.07559021,-0.23422319,-0.05110324,0.6626,4.1275997,8.8709,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299750,0.19153613,3.8498764,8.973468,0.07559021,-0.23422319,-0.05110324,0.6626,4.1275997,8.8709,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299751,0.19153613,3.8498764,8.973468,0.07559021,-0.23422319,-0.05110324,0.6814,4.1351,8.866,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299756,0.16280572,3.8498764,8.724471,0.07559021,-0.23422319,-0.05110324,0.6814,4.1351,8.866,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299767,0.22026655,3.8019924,8.446744,0.07559021,-0.23422319,-0.05110324,0.6814,4.1351,8.866,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299768,0.22026655,3.8019924,8.446744,0.07559021,-0.23422319,-0.05110324,0.6602,4.1303,8.8698,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299768,0.29688102,3.7732618,8.121132,0.07559021,-0.23422319,-0.05110324,0.6602,4.1303,8.8698,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299769,0.29688102,3.7732618,8.121132,0.07559021,-0.23422319,-0.05110324,0.6602,4.1303,8.8698,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299770,0.16280572,3.821146,7.5944076,0.07559021,-0.23422319,-0.05110324,0.6602,4.1303,8.8698,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299770,0.16280572,3.821146,7.5944076,-1.4404726,-0.4460887,-1.3116498,-1.4404726,-0.4460887,-1.3116498,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299798,0.16280572,3.821146,7.5944076,-1.4404726,-0.4460887,-1.3116498,0.681,4.1387997,8.8643,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299798,0.30645782,3.5913026,7.383718,-1.4404726,-0.4460887,-1.3116498,0.681,4.1387997,8.8643,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299799,0.30645782,3.5913026,7.383718,-1.658726,-0.12669346,-1.3595592,-1.658726,-0.12669346,-1.3595592,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299799,0.7757214,3.2465374,7.5561004,-1.658726,-0.12669346,-1.3595592,-1.658726,-0.12669346,-1.3595592,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299800,0.7757214,3.2465374,7.5561004,-1.658726,-0.12669346,-1.3595592,0.6568,3.9889,8.9346,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299800,0.7757214,3.2465374,7.5561004,-1.66192,-0.134146,-1.369141,-1.66192,-0.134146,-1.369141,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299800,0.90021986,3.2848446,7.833828,-1.66192,-0.134146,-1.369141,-1.66192,-0.134146,-1.369141,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299800,0.90021986,3.2848446,7.833828,-1.7013121,-0.21186551,-1.4042745,-1.7013121,-0.21186551,-1.4042745,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299801,0.6607997,3.371036,8.015787,-1.7013121,-0.21186551,-1.4042745,-1.7013121,-0.21186551,-1.4042745,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299801,0.6607997,3.371036,8.015787,-1.7013121,-0.21186551,-1.4042745,0.7583,3.5607,9.1058,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299801,0.6607997,3.371036,8.015787,-1.7449627,-0.36623988,-1.4436666,-1.7449627,-0.36623988,-1.4436666,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299802,0.36391866,3.4859576,8.236053,-1.7449627,-0.36623988,-1.4436666,-1.7449627,-0.36623988,-1.4436666,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299802,0.36391866,3.4859576,8.236053,-1.7662557,-0.55042446,-1.4745414,-1.7662557,-0.55042446,-1.4745414,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299802,-0.038307227,3.514688,8.504205,-1.7662557,-0.55042446,-1.4745414,-1.7662557,-0.55042446,-1.4745414,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299803,-0.038307227,3.514688,8.504205,-1.7662557,-0.55042446,-1.4745414,0.7061,3.4326,9.158999,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299803,-0.038307227,3.514688,8.504205,-1.7598678,-0.7601607,-1.4841232,-1.7598678,-0.7601607,-1.4841232,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299803,-0.29688102,3.7062242,8.839393,-1.7598678,-0.7601607,-1.4841232,-1.7598678,-0.7601607,-1.4841232,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299804,-0.29688102,3.7062242,8.839393,-1.7449627,-0.9954485,-1.4724121,-1.7449627,-0.9954485,-1.4724121,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299810,-0.63206923,3.8115692,9.097966,-1.7449627,-0.9954485,-1.4724121,-1.7449627,-0.9954485,-1.4724121,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299842,-0.63206923,3.8115692,9.097966,-1.7449627,-0.9954485,-1.4724121,0.867,3.0496,9.2799,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299843,-0.63206923,3.8115692,9.097966,-1.7204758,-1.2477708,-1.4479251,-1.7204758,-1.2477708,-1.4479251,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299844,-0.91937345,3.8786068,9.56723,-1.7204758,-1.2477708,-1.4479251,-1.7204758,-1.2477708,-1.4479251,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299844,-0.91937345,3.8786068,9.56723,-1.6821483,-1.5075456,-1.4138563,-1.6821483,-1.5075456,-1.4138563,0.0,WALKING
